"sample_id","created","pathogens","type","animal","anamnese","farm_id","country"
"1013","2020-09-28 10:49:48","{""Mycoplasmopsis bovirhinis"": 1}","balFluid","bovine","null","1734","BE"
"1033","2020-10-01 09:55:23","NULL","balFluid","bovine","null","1738","NL"
"1039","2020-10-01 10:08:45","{""Bibersteinia trehalosi"": 5, ""Mannheimia haemolytica"": 3}","balFluid","bovine","null","1738","NL"
"1113","2020-10-19 14:50:24","{""Mesomycoplasma dispar"": 1}","balFluid","bovine","null","1767","BE"
"1134","2020-10-22 08:48:27","{""Mesomycoplasma dispar"": 5}","balFluid","bovine","null","1773","BE"
"1135","2020-10-22 08:48:27","{""Mesomycoplasma dispar"": 3, ""Bovine parvovirus 3"": 1}","balFluid","bovine","null","1773","BE"
"1136","2020-10-22 08:48:27","{""Mesomycoplasma dispar"": 1, ""Ungulate tetraparvovirus 1"": 1}","balFluid","bovine","null","1773","BE"
"1137","2020-10-22 08:48:27","{""Mesomycoplasma dispar"": 5, ""Picobirnavirus"": 1, ""Ungulate tetraparvovirus 1"": 1}","balFluid","bovine","null","1773","BE"
"1138","2020-10-22 08:48:27","{""Mesomycoplasma dispar"": 5}","balFluid","bovine","null","1773","BE"
"1185","2020-10-30 16:24:09","{""Mesomycoplasma dispar"": 3}","balFluid","bovine","null","1783","BE"
"1229","2020-11-05 15:56:40","{""Mycoplasma"": 1}","balFluid","bovine","null","1795","BE"
"1339","2020-11-23 12:38:05","{""Pseudomonas"": 1}","balFluid","bovine","null","1818","BE"
"1340","2020-11-23 12:38:05","{""Pasteurella multocida"": 1, ""Mesomycoplasma dispar"": 3, ""Bovine rhinitis A virus"": 1}","balFluid","bovine","null","1818","BE"
"1408","2020-11-25 08:26:46","{""Bacteriële mengflora"": 3}","noseSwab","bovine","null","1824","BE"
"1556","2020-12-21 15:12:25","{""Pasteurella multocida"": 1, ""Mycoplasmopsis bovis"": 1}","noseSwab","bovine","null","1861","NL"
"1571","2020-12-23 13:29:00","NULL","balFluid","bovine","null","1866","BE"
"1584","2021-01-05 10:05:16","{""Pasteurella multocida"": 3, ""Bovine coronavirus"": 1, ""Metamycoplasma alkalescens"": 3, ""Mesomycoplasma dispar"": 3}","balFluid","bovine","null","1872","NL"
"1912","2021-01-25 13:58:50","{""Bovine orthopneumovirus"": 1, ""Mycoplasmopsis bovis"": 3, ""Mesomycoplasma dispar"": 1}","balFluid","bovine","null","1911","BE"
"1998","2021-02-05 11:57:31","{""Actinobacillus"": 1, ""Pasteurella multocida"": 1, ""Mesomycoplasma ovipneumoniae"": 5}","balFluid","bovine","null","1997","BE"
"2065","2021-02-10 20:50:18","{""Mycoplasmopsis bovirhinis"": 1}","balFluid","bovine","null","2064","BE"
"2336","2021-03-05 07:08:48","{""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 3}","balFluid","bovine","null","2335","BE"
"2373","2021-03-09 15:04:42","{""Pasteurella multocida"": 3, ""Ureaplasma"": 1, ""Mycoplasmopsis bovis"": 1, ""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 3, ""Picobirnavirus"": 1}","balFluid","bovine","null","2372","BE"
"2374","2021-03-09 15:04:42","{""Pasteurella multocida"": 3, ""Ureaplasma"": 1, ""Bovine coronavirus"": 1, ""Bovine orthopneumovirus"": 1, ""Mycoplasmopsis bovis"": 1, ""Mycoplasmopsis bovirhinis"": 3, ""Mesomycoplasma dispar"": 3, ""Bovine rhinovirus 1"": 1}","balFluid","bovine","null","2372","BE"
"2451","2021-03-17 16:12:25","{""Malacoplasma penetrans"": 1, ""Mycoplasmopsis bovis"": 1, ""Mycoplasmopsis bovirhinis"": 1, ""Metamycoplasma alkalescens"": 1, ""Mesomycoplasma dispar"": 3}","balFluid","bovine","null","2450","BE"
"2493","2021-03-19 20:04:07","{""Mycoplasma"": 1}","noseSwab","bovine","null","2492","BE"
"2629","2021-04-01 14:11:41","{""Pasteurella multocida"": 1, ""Bovine coronavirus"": 3, ""Mycoplasmopsis bovis"": 1, ""Mycoplasmopsis bovirhinis"": 3, ""Mesomycoplasma dispar"": 5}","balFluid","bovine","null","2628","BE"
"2730","2021-04-13 20:06:08","{""Ureaplasma"": 1, ""Bovine orthopneumovirus"": 5, ""Mycoplasmopsis bovis"": 3}","balFluid","bovine","null","2729","BE"
"2768","2021-04-16 14:05:55","{""Pseudomonas"": 5, ""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 5}","balFluid","bovine","null","2767","BE"
"2771","2021-04-16 14:09:53","{""Mesomycoplasma dispar"": 1}","balFluid","bovine","null","2770","BE"
"2886","2021-04-29 13:43:49","{""Ureaplasma"": 1, ""Bovine adenovirus 3"": 1, ""Mycoplasmopsis bovis"": 1, ""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 3}","balFluid","bovine","null","2885","BE"
"2901","2021-05-03 13:06:29","{""Clostridium"": 1, ""Bovine gammaherpesvirus 4"": 1, ""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 1}","balFluid","bovine","null","2900","BE"
"2993","2021-05-10 10:49:23","NULL","balFluid","bovine","null","2992","BE"
"3332","2021-06-08 14:39:47","{""Pasteurella multocida"": 1, ""Mycoplasmopsis arginini"": 3, ""Mycoplasmopsis bovis"": 1, ""Mesomycoplasma dispar"": 3, ""Picobirnavirus"": 1}","balFluid","bovine","null","3331","BE"
"4249","2021-09-01 15:31:51","{""Moraxella"": 1, ""Streptococcus"": 1, ""Mycoplasmopsis bovirhinis"": 1, ""Mannheimia"": 3, ""Picobirnavirus"": 1, ""Bovine papular stomatitis virus"": 5, ""Basfia succiniciproducens"": 5}","noseSwab","bovine","null","4248","BE"
"4252","2021-09-01 17:14:22","{""Bovine orthopneumovirus"": 5, ""Mycoplasmopsis bovirhinis"": 1, ""Mesomycoplasma dispar"": 5, ""Picobirnavirus"": 1}","noseSwab","bovine","null","4251","BE"
"4353","2021-09-14 10:39:46","{""Mesomycoplasma dispar"": 1, ""Bovine polyomavirus 2"": 1}","balFluid","bovine","null","4352","BE"
