"","Lab_reference","Country","Breed","Province","Farm_ID","Diagnostic_test","Sample_type","Samplenumber","Date_month","Date_week","Date","Pathogen","Result"
"1","3","Belgium","Beef","Hainaut","0066b1a9f707af8095e63ac06e859e574c1a5884c2202ec778decff15aa53051","Culture","Autopsy","e23d179c2dd753991e4af1df4e9734cd813ba1c577a21951296dbb8978da55e7",2023-09-01,2023-09-25,2023-09-26,"PM",0
"2","3","Belgium","Beef","Hainaut","0066b1a9f707af8095e63ac06e859e574c1a5884c2202ec778decff15aa53051","Culture","Autopsy","e23d179c2dd753991e4af1df4e9734cd813ba1c577a21951296dbb8978da55e7",2023-09-01,2023-09-25,2023-09-26,"MH",0
"3","3","Belgium","Beef","Hainaut","0066b1a9f707af8095e63ac06e859e574c1a5884c2202ec778decff15aa53051","Culture","Autopsy","e23d179c2dd753991e4af1df4e9734cd813ba1c577a21951296dbb8978da55e7",2023-09-01,2023-09-25,2023-09-26,"HS",0
"4","3","Belgium","Beef","Hainaut","0066b1a9f707af8095e63ac06e859e574c1a5884c2202ec778decff15aa53051","Culture","Autopsy","e23d179c2dd753991e4af1df4e9734cd813ba1c577a21951296dbb8978da55e7",2023-09-01,2023-09-25,2023-09-26,"MB",0
"5","3","Belgium","Beef","Hainaut","0066b1a9f707af8095e63ac06e859e574c1a5884c2202ec778decff15aa53051","Culture","Autopsy","e23d179c2dd753991e4af1df4e9734cd813ba1c577a21951296dbb8978da55e7",2023-09-01,2023-09-25,2023-09-26,"BRSV",NA
"6","3","Belgium","Beef","Hainaut","0066b1a9f707af8095e63ac06e859e574c1a5884c2202ec778decff15aa53051","Culture","Autopsy","e23d179c2dd753991e4af1df4e9734cd813ba1c577a21951296dbb8978da55e7",2023-09-01,2023-09-25,2023-09-26,"PI3",NA
"7","3","Belgium","Beef","Hainaut","0066b1a9f707af8095e63ac06e859e574c1a5884c2202ec778decff15aa53051","Culture","Autopsy","e23d179c2dd753991e4af1df4e9734cd813ba1c577a21951296dbb8978da55e7",2023-09-01,2023-09-25,2023-09-26,"BCV",NA
"8","3","Belgium","Beef","Hainaut","0066b1a9f707af8095e63ac06e859e574c1a5884c2202ec778decff15aa53051","PCR","Autopsy","e23d179c2dd753991e4af1df4e9734cd813ba1c577a21951296dbb8978da55e7",2023-09-01,2023-09-25,2023-09-26,"PM",1
"9","3","Belgium","Beef","Hainaut","0066b1a9f707af8095e63ac06e859e574c1a5884c2202ec778decff15aa53051","PCR","Autopsy","e23d179c2dd753991e4af1df4e9734cd813ba1c577a21951296dbb8978da55e7",2023-09-01,2023-09-25,2023-09-26,"MH",0
"10","3","Belgium","Beef","Hainaut","0066b1a9f707af8095e63ac06e859e574c1a5884c2202ec778decff15aa53051","PCR","Autopsy","e23d179c2dd753991e4af1df4e9734cd813ba1c577a21951296dbb8978da55e7",2023-09-01,2023-09-25,2023-09-26,"HS",0
"11","3","Belgium","Beef","Hainaut","0066b1a9f707af8095e63ac06e859e574c1a5884c2202ec778decff15aa53051","PCR","Autopsy","e23d179c2dd753991e4af1df4e9734cd813ba1c577a21951296dbb8978da55e7",2023-09-01,2023-09-25,2023-09-26,"MB",1
"12","3","Belgium","Beef","Hainaut","0066b1a9f707af8095e63ac06e859e574c1a5884c2202ec778decff15aa53051","PCR","Autopsy","e23d179c2dd753991e4af1df4e9734cd813ba1c577a21951296dbb8978da55e7",2023-09-01,2023-09-25,2023-09-26,"BRSV",0
"13","3","Belgium","Beef","Hainaut","0066b1a9f707af8095e63ac06e859e574c1a5884c2202ec778decff15aa53051","PCR","Autopsy","e23d179c2dd753991e4af1df4e9734cd813ba1c577a21951296dbb8978da55e7",2023-09-01,2023-09-25,2023-09-26,"PI3",0
"14","3","Belgium","Beef","Hainaut","0066b1a9f707af8095e63ac06e859e574c1a5884c2202ec778decff15aa53051","PCR","Autopsy","e23d179c2dd753991e4af1df4e9734cd813ba1c577a21951296dbb8978da55e7",2023-09-01,2023-09-25,2023-09-26,"BCV",0
"15","3","Belgium","Beef","Hainaut","015552cf2a7bb8a16a25538c38b8496d26417bbec46e4a62743199d9964758ee","Culture","Autopsy","7a3e6b16cb75f48fb897eff3ae732f3154f6d203b53f33660f01b4c3b6bc2df9",2019-03-01,2019-02-25,2019-03-02,"PM",0
