"","Lab_reference","Country","Breed","Province","Farm_ID","Diagnostic_test","Sample_type","Samplenumber","Date","Date_month","Date_week","Pathogen","Result"
"1","1","Belgium","Beef","Antwerp","03308474a7706d57d952e9b9b4976742b45d5b83ffff97dc024c0f3755a5765f","Culture","BAL","271f16e56000f6cd4eff4251ac8557eea538ceb3e7b598f61f20e719de178e65",2020-11-25 13:57:48,2020-11-01,2020-11-22,"HS",0
"2","1","Belgium","Beef","Antwerp","03308474a7706d57d952e9b9b4976742b45d5b83ffff97dc024c0f3755a5765f","Culture","BAL","271f16e56000f6cd4eff4251ac8557eea538ceb3e7b598f61f20e719de178e65",2020-11-25 13:57:48,2020-11-01,2020-11-22,"MH",1
"3","1","Belgium","Beef","Antwerp","03308474a7706d57d952e9b9b4976742b45d5b83ffff97dc024c0f3755a5765f","Culture","BAL","271f16e56000f6cd4eff4251ac8557eea538ceb3e7b598f61f20e719de178e65",2020-11-25 13:57:48,2020-11-01,2020-11-22,"PM",1
"4","1","Belgium","Beef","Antwerp","03308474a7706d57d952e9b9b4976742b45d5b83ffff97dc024c0f3755a5765f","PCR","BAL","271f16e56000f6cd4eff4251ac8557eea538ceb3e7b598f61f20e719de178e65",2020-11-25 13:57:48,2020-11-01,2020-11-22,"BCV",0
"5","1","Belgium","Beef","Antwerp","03308474a7706d57d952e9b9b4976742b45d5b83ffff97dc024c0f3755a5765f","PCR","BAL","271f16e56000f6cd4eff4251ac8557eea538ceb3e7b598f61f20e719de178e65",2020-11-25 13:57:48,2020-11-01,2020-11-22,"BRSV",1
"6","1","Belgium","Beef","Antwerp","03308474a7706d57d952e9b9b4976742b45d5b83ffff97dc024c0f3755a5765f","PCR","BAL","271f16e56000f6cd4eff4251ac8557eea538ceb3e7b598f61f20e719de178e65",2020-11-25 13:57:48,2020-11-01,2020-11-22,"HS",1
"7","1","Belgium","Beef","Antwerp","03308474a7706d57d952e9b9b4976742b45d5b83ffff97dc024c0f3755a5765f","PCR","BAL","271f16e56000f6cd4eff4251ac8557eea538ceb3e7b598f61f20e719de178e65",2020-11-25 13:57:48,2020-11-01,2020-11-22,"MB",1
"8","1","Belgium","Beef","Antwerp","03308474a7706d57d952e9b9b4976742b45d5b83ffff97dc024c0f3755a5765f","PCR","BAL","271f16e56000f6cd4eff4251ac8557eea538ceb3e7b598f61f20e719de178e65",2020-11-25 13:57:48,2020-11-01,2020-11-22,"MH",1
"9","1","Belgium","Beef","Antwerp","03308474a7706d57d952e9b9b4976742b45d5b83ffff97dc024c0f3755a5765f","PCR","BAL","271f16e56000f6cd4eff4251ac8557eea538ceb3e7b598f61f20e719de178e65",2020-11-25 13:57:48,2020-11-01,2020-11-22,"PI3",0
"10","1","Belgium","Beef","Antwerp","03308474a7706d57d952e9b9b4976742b45d5b83ffff97dc024c0f3755a5765f","PCR","BAL","271f16e56000f6cd4eff4251ac8557eea538ceb3e7b598f61f20e719de178e65",2020-11-25 13:57:48,2020-11-01,2020-11-22,"PM",1
"11","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","Culture","Autopsy","844837cadfa0a36556ca8e1713757e3baaab5d7f9e4b1d17b2f2f6496864c551",2023-09-13 08:52:24,2023-09-01,2023-09-10,"HS",0
"12","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","Culture","Autopsy","844837cadfa0a36556ca8e1713757e3baaab5d7f9e4b1d17b2f2f6496864c551",2023-09-13 08:52:24,2023-09-01,2023-09-10,"MH",0
"13","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","Culture","Autopsy","844837cadfa0a36556ca8e1713757e3baaab5d7f9e4b1d17b2f2f6496864c551",2023-09-13 08:52:24,2023-09-01,2023-09-10,"PM",0
"14","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","37b50968f83d27bb3787032c9cdea887ba7e0211c32131daf5a1b692de1f2c2c",2017-09-22 10:59:50,2017-09-01,2017-09-17,"BCV",0
"15","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","37b50968f83d27bb3787032c9cdea887ba7e0211c32131daf5a1b692de1f2c2c",2017-09-22 10:59:50,2017-09-01,2017-09-17,"BRSV",0
"16","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","37b50968f83d27bb3787032c9cdea887ba7e0211c32131daf5a1b692de1f2c2c",2017-09-22 10:59:50,2017-09-01,2017-09-17,"HS",0
"17","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","37b50968f83d27bb3787032c9cdea887ba7e0211c32131daf5a1b692de1f2c2c",2017-09-22 10:59:50,2017-09-01,2017-09-17,"MB",0
"18","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","37b50968f83d27bb3787032c9cdea887ba7e0211c32131daf5a1b692de1f2c2c",2017-09-22 10:59:50,2017-09-01,2017-09-17,"MH",0
"19","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","37b50968f83d27bb3787032c9cdea887ba7e0211c32131daf5a1b692de1f2c2c",2017-09-22 10:59:50,2017-09-01,2017-09-17,"PI3",0
"20","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","37b50968f83d27bb3787032c9cdea887ba7e0211c32131daf5a1b692de1f2c2c",2017-09-22 10:59:50,2017-09-01,2017-09-17,"PM",1
"21","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","71220a750f9f0dd38c5c62c1048fc258d1be6cd2af919befb71eca9f74486f5f",2019-10-16 09:09:56,2019-10-01,2019-10-13,"BCV",0
"22","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","71220a750f9f0dd38c5c62c1048fc258d1be6cd2af919befb71eca9f74486f5f",2019-10-16 09:09:56,2019-10-01,2019-10-13,"BRSV",0
"23","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","71220a750f9f0dd38c5c62c1048fc258d1be6cd2af919befb71eca9f74486f5f",2019-10-16 09:09:56,2019-10-01,2019-10-13,"HS",1
"24","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","71220a750f9f0dd38c5c62c1048fc258d1be6cd2af919befb71eca9f74486f5f",2019-10-16 09:09:56,2019-10-01,2019-10-13,"MB",0
"25","1","Belgium","Beef","Antwerp","24ebac7999165f658ca8530b25127134120d74c660c1df996b98aa62e348e649","PCR","Autopsy","71220a750f9f0dd38c5c62c1048fc258d1be6cd2af919befb71eca9f74486f5f",2019-10-16 09:09:56,2019-10-01,2019-10-13,"MH",1
