"","Lab_reference","Country","Breed","Province","Farm_ID","Diagnostic_test","Sample_type","Samplenumber","Date","Date_month","Date_week","Pathogen","Result"
"1","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Culture","Autopsy","3b7ddd3b556bf609b6864d9918411fc35269d57ac154e72cb6b332c94defc155",2023-10-31,2023-10-01,2023-10-29,"HS",0
"2","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Culture","Autopsy","40ef8dc668fe7ea99b79736bdd11af704ed40bc5e1a77dfbee717c771c4be394",2022-03-07,2022-03-01,2022-03-06,"HS",0
"3","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Culture","Autopsy","6164d362ea5e4abfb9f97d96ed095903641e653db366b1e3efe8dfccd47a2336",2023-07-18,2023-07-01,2023-07-16,"HS",1
"4","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Culture","Autopsy","bd62e7c7d1f358ab0bf538fb3db78af99b5644214361f2adc90db2f3fb78243f",2023-10-31,2023-10-01,2023-10-29,"HS",0
"5","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Culture","Autopsy","cace6ae096333d88def6b829e842f2b12a761ef6df32315e298f6e3d3386bc52",2023-07-18,2023-07-01,2023-07-16,"HS",1
"6","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Culture","Autopsy","3b7ddd3b556bf609b6864d9918411fc35269d57ac154e72cb6b332c94defc155",2023-10-31,2023-10-01,2023-10-29,"MH",0
"7","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Culture","Autopsy","40ef8dc668fe7ea99b79736bdd11af704ed40bc5e1a77dfbee717c771c4be394",2022-03-07,2022-03-01,2022-03-06,"MH",0
"8","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Culture","Autopsy","6164d362ea5e4abfb9f97d96ed095903641e653db366b1e3efe8dfccd47a2336",2023-07-18,2023-07-01,2023-07-16,"MH",0
"9","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Culture","Autopsy","bd62e7c7d1f358ab0bf538fb3db78af99b5644214361f2adc90db2f3fb78243f",2023-10-31,2023-10-01,2023-10-29,"MH",0
"10","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Culture","Autopsy","cace6ae096333d88def6b829e842f2b12a761ef6df32315e298f6e3d3386bc52",2023-07-18,2023-07-01,2023-07-16,"MH",0
"11","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Culture","Autopsy","3b7ddd3b556bf609b6864d9918411fc35269d57ac154e72cb6b332c94defc155",2023-10-31,2023-10-01,2023-10-29,"PM",0
"12","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Culture","Autopsy","40ef8dc668fe7ea99b79736bdd11af704ed40bc5e1a77dfbee717c771c4be394",2022-03-07,2022-03-01,2022-03-06,"PM",0
"13","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Culture","Autopsy","6164d362ea5e4abfb9f97d96ed095903641e653db366b1e3efe8dfccd47a2336",2023-07-18,2023-07-01,2023-07-16,"PM",0
"14","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Culture","Autopsy","bd62e7c7d1f358ab0bf538fb3db78af99b5644214361f2adc90db2f3fb78243f",2023-10-31,2023-10-01,2023-10-29,"PM",0
"15","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Culture","Autopsy","cace6ae096333d88def6b829e842f2b12a761ef6df32315e298f6e3d3386bc52",2023-07-18,2023-07-01,2023-07-16,"PM",0
"16","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Missing","Autopsy","3b7ddd3b556bf609b6864d9918411fc35269d57ac154e72cb6b332c94defc155",2023-10-31,2023-10-01,2023-10-29,"HS",NA
"17","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Missing","Autopsy","6164d362ea5e4abfb9f97d96ed095903641e653db366b1e3efe8dfccd47a2336",2023-07-18,2023-07-01,2023-07-16,"HS",NA
"18","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Missing","Autopsy","3b7ddd3b556bf609b6864d9918411fc35269d57ac154e72cb6b332c94defc155",2023-10-31,2023-10-01,2023-10-29,"MH",NA
"19","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Missing","Autopsy","6164d362ea5e4abfb9f97d96ed095903641e653db366b1e3efe8dfccd47a2336",2023-07-18,2023-07-01,2023-07-16,"MH",NA
"20","5","Ireland","Beef","Carlow","14642c7dbd63e35ddb9f83b1d6db939950ef67b986a9eada686be2f91bc912ee","Missing","Autopsy","3b7ddd3b556bf609b6864d9918411fc35269d57ac154e72cb6b332c94defc155",2023-10-31,2023-10-01,2023-10-29,"PM",NA
