"","Lab_reference","Country","Breed","Province","Farm_ID","Diagnostic_test","Sample_type","Samplenumber","Date","Date_month","Date_week","Pathogen","Result"
"1","4","Belgium","Unknown",NA,"01ff77a3e2353341335866f2bfd20f41b1e7c4b932a32872c49526ba062606a5","NPS","BAL","4ab5f50373ffdfed92f5705dde25c808b4145dba757347a074ffd70f9483d0ed",2022-06-08 15:51:56,2022-06-01,2022-06-05,"PM",0
"2","4","Belgium","Unknown",NA,"01ff77a3e2353341335866f2bfd20f41b1e7c4b932a32872c49526ba062606a5","NPS","BAL","4ab5f50373ffdfed92f5705dde25c808b4145dba757347a074ffd70f9483d0ed",2022-06-08 15:51:56,2022-06-01,2022-06-05,"MH",0
"3","4","Belgium","Unknown",NA,"01ff77a3e2353341335866f2bfd20f41b1e7c4b932a32872c49526ba062606a5","NPS","BAL","4ab5f50373ffdfed92f5705dde25c808b4145dba757347a074ffd70f9483d0ed",2022-06-08 15:51:56,2022-06-01,2022-06-05,"HS",0
"4","4","Belgium","Unknown",NA,"01ff77a3e2353341335866f2bfd20f41b1e7c4b932a32872c49526ba062606a5","NPS","BAL","4ab5f50373ffdfed92f5705dde25c808b4145dba757347a074ffd70f9483d0ed",2022-06-08 15:51:56,2022-06-01,2022-06-05,"MB",0
"5","4","Belgium","Unknown",NA,"01ff77a3e2353341335866f2bfd20f41b1e7c4b932a32872c49526ba062606a5","NPS","BAL","4ab5f50373ffdfed92f5705dde25c808b4145dba757347a074ffd70f9483d0ed",2022-06-08 15:51:56,2022-06-01,2022-06-05,"BRSV",1
"6","4","Belgium","Unknown",NA,"01ff77a3e2353341335866f2bfd20f41b1e7c4b932a32872c49526ba062606a5","NPS","BAL","4ab5f50373ffdfed92f5705dde25c808b4145dba757347a074ffd70f9483d0ed",2022-06-08 15:51:56,2022-06-01,2022-06-05,"PI3",0
"7","4","Belgium","Unknown",NA,"01ff77a3e2353341335866f2bfd20f41b1e7c4b932a32872c49526ba062606a5","NPS","BAL","4ab5f50373ffdfed92f5705dde25c808b4145dba757347a074ffd70f9483d0ed",2022-06-08 15:51:56,2022-06-01,2022-06-05,"BCV",0
"8","4","Belgium","Unknown",NA,"01ff77a3e2353341335866f2bfd20f41b1e7c4b932a32872c49526ba062606a5","NPS","BAL","d604696d6ff7e84d99ab8135f541b271706b7d2520ddf7eb3c351359ae7fc283",2022-06-08 15:51:56,2022-06-01,2022-06-05,"PM",0
"9","4","Belgium","Unknown",NA,"01ff77a3e2353341335866f2bfd20f41b1e7c4b932a32872c49526ba062606a5","NPS","BAL","d604696d6ff7e84d99ab8135f541b271706b7d2520ddf7eb3c351359ae7fc283",2022-06-08 15:51:56,2022-06-01,2022-06-05,"MH",0
"10","4","Belgium","Unknown",NA,"01ff77a3e2353341335866f2bfd20f41b1e7c4b932a32872c49526ba062606a5","NPS","BAL","d604696d6ff7e84d99ab8135f541b271706b7d2520ddf7eb3c351359ae7fc283",2022-06-08 15:51:56,2022-06-01,2022-06-05,"HS",0
"11","4","Belgium","Unknown",NA,"01ff77a3e2353341335866f2bfd20f41b1e7c4b932a32872c49526ba062606a5","NPS","BAL","d604696d6ff7e84d99ab8135f541b271706b7d2520ddf7eb3c351359ae7fc283",2022-06-08 15:51:56,2022-06-01,2022-06-05,"MB",0
"12","4","Belgium","Unknown",NA,"01ff77a3e2353341335866f2bfd20f41b1e7c4b932a32872c49526ba062606a5","NPS","BAL","d604696d6ff7e84d99ab8135f541b271706b7d2520ddf7eb3c351359ae7fc283",2022-06-08 15:51:56,2022-06-01,2022-06-05,"BRSV",0
"13","4","Belgium","Unknown",NA,"01ff77a3e2353341335866f2bfd20f41b1e7c4b932a32872c49526ba062606a5","NPS","BAL","d604696d6ff7e84d99ab8135f541b271706b7d2520ddf7eb3c351359ae7fc283",2022-06-08 15:51:56,2022-06-01,2022-06-05,"PI3",0
"14","4","Belgium","Unknown",NA,"01ff77a3e2353341335866f2bfd20f41b1e7c4b932a32872c49526ba062606a5","NPS","BAL","d604696d6ff7e84d99ab8135f541b271706b7d2520ddf7eb3c351359ae7fc283",2022-06-08 15:51:56,2022-06-01,2022-06-05,"BCV",0
"15","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","12e092eef5220a2d32c075bb95e09d4f34ef8bf3840c86190d2e2154696ca300",2021-12-22 13:21:49,2021-12-01,2021-12-19,"PM",0
"16","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","12e092eef5220a2d32c075bb95e09d4f34ef8bf3840c86190d2e2154696ca300",2021-12-22 13:21:49,2021-12-01,2021-12-19,"MH",0
"17","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","12e092eef5220a2d32c075bb95e09d4f34ef8bf3840c86190d2e2154696ca300",2021-12-22 13:21:49,2021-12-01,2021-12-19,"HS",0
"18","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","12e092eef5220a2d32c075bb95e09d4f34ef8bf3840c86190d2e2154696ca300",2021-12-22 13:21:49,2021-12-01,2021-12-19,"MB",0
"19","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","12e092eef5220a2d32c075bb95e09d4f34ef8bf3840c86190d2e2154696ca300",2021-12-22 13:21:49,2021-12-01,2021-12-19,"BRSV",0
"20","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","12e092eef5220a2d32c075bb95e09d4f34ef8bf3840c86190d2e2154696ca300",2021-12-22 13:21:49,2021-12-01,2021-12-19,"PI3",0
"21","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","12e092eef5220a2d32c075bb95e09d4f34ef8bf3840c86190d2e2154696ca300",2021-12-22 13:21:49,2021-12-01,2021-12-19,"BCV",0
"22","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","24250bf69bbdf1a9d6876d3c33d9464064dd632ad87a47eaea75c5d9717cdd30",2021-12-22 13:21:49,2021-12-01,2021-12-19,"PM",0
"23","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","24250bf69bbdf1a9d6876d3c33d9464064dd632ad87a47eaea75c5d9717cdd30",2021-12-22 13:21:49,2021-12-01,2021-12-19,"MH",0
"24","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","24250bf69bbdf1a9d6876d3c33d9464064dd632ad87a47eaea75c5d9717cdd30",2021-12-22 13:21:49,2021-12-01,2021-12-19,"HS",0
"25","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","24250bf69bbdf1a9d6876d3c33d9464064dd632ad87a47eaea75c5d9717cdd30",2021-12-22 13:21:49,2021-12-01,2021-12-19,"MB",0
"26","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","24250bf69bbdf1a9d6876d3c33d9464064dd632ad87a47eaea75c5d9717cdd30",2021-12-22 13:21:49,2021-12-01,2021-12-19,"BRSV",0
"27","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","24250bf69bbdf1a9d6876d3c33d9464064dd632ad87a47eaea75c5d9717cdd30",2021-12-22 13:21:49,2021-12-01,2021-12-19,"PI3",0
"28","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","24250bf69bbdf1a9d6876d3c33d9464064dd632ad87a47eaea75c5d9717cdd30",2021-12-22 13:21:49,2021-12-01,2021-12-19,"BCV",0
"29","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","3b5becbb1c2ca62c2e693d5cc5d8991a6ee5c30feedb98e37139908b69804654",2021-12-22 13:21:49,2021-12-01,2021-12-19,"PM",0
"30","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","3b5becbb1c2ca62c2e693d5cc5d8991a6ee5c30feedb98e37139908b69804654",2021-12-22 13:21:49,2021-12-01,2021-12-19,"MH",0
"31","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","3b5becbb1c2ca62c2e693d5cc5d8991a6ee5c30feedb98e37139908b69804654",2021-12-22 13:21:49,2021-12-01,2021-12-19,"HS",0
"32","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","3b5becbb1c2ca62c2e693d5cc5d8991a6ee5c30feedb98e37139908b69804654",2021-12-22 13:21:49,2021-12-01,2021-12-19,"MB",0
"33","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","3b5becbb1c2ca62c2e693d5cc5d8991a6ee5c30feedb98e37139908b69804654",2021-12-22 13:21:49,2021-12-01,2021-12-19,"BRSV",0
"34","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","3b5becbb1c2ca62c2e693d5cc5d8991a6ee5c30feedb98e37139908b69804654",2021-12-22 13:21:49,2021-12-01,2021-12-19,"PI3",0
"35","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","3b5becbb1c2ca62c2e693d5cc5d8991a6ee5c30feedb98e37139908b69804654",2021-12-22 13:21:49,2021-12-01,2021-12-19,"BCV",0
"36","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","6bfbc415b3a186d99a8ab5e83b3ac0de6c6c68d6c5f3aaebc833e70a7037c725",2021-12-22 13:21:49,2021-12-01,2021-12-19,"PM",0
"37","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","6bfbc415b3a186d99a8ab5e83b3ac0de6c6c68d6c5f3aaebc833e70a7037c725",2021-12-22 13:21:49,2021-12-01,2021-12-19,"MH",0
"38","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","6bfbc415b3a186d99a8ab5e83b3ac0de6c6c68d6c5f3aaebc833e70a7037c725",2021-12-22 13:21:49,2021-12-01,2021-12-19,"HS",0
"39","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","6bfbc415b3a186d99a8ab5e83b3ac0de6c6c68d6c5f3aaebc833e70a7037c725",2021-12-22 13:21:49,2021-12-01,2021-12-19,"MB",0
"40","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","6bfbc415b3a186d99a8ab5e83b3ac0de6c6c68d6c5f3aaebc833e70a7037c725",2021-12-22 13:21:49,2021-12-01,2021-12-19,"BRSV",0
"41","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","6bfbc415b3a186d99a8ab5e83b3ac0de6c6c68d6c5f3aaebc833e70a7037c725",2021-12-22 13:21:49,2021-12-01,2021-12-19,"PI3",0
"42","4","Belgium","Unknown",NA,"06af29ac2ff50f6278ad7d0ffb7657a35864299191bea7a1fab0820d13c7a4ec","NPS","BAL","6bfbc415b3a186d99a8ab5e83b3ac0de6c6c68d6c5f3aaebc833e70a7037c725",2021-12-22 13:21:49,2021-12-01,2021-12-19,"BCV",0
"43","4","Belgium","Unknown",NA,"0985b889a1fe4f4e1fb925061ac6fb2247f10875f5fcbe63eec2ab55ed68970e","NPS","BAL","d54123de468bd42ea00dafbd777f85fe5fa1ff6404d9838c007953c25c92a1c5",2021-02-05 11:57:31,2021-02-01,2021-01-31,"PM",1
"44","4","Belgium","Unknown",NA,"0985b889a1fe4f4e1fb925061ac6fb2247f10875f5fcbe63eec2ab55ed68970e","NPS","BAL","d54123de468bd42ea00dafbd777f85fe5fa1ff6404d9838c007953c25c92a1c5",2021-02-05 11:57:31,2021-02-01,2021-01-31,"MH",0
"45","4","Belgium","Unknown",NA,"0985b889a1fe4f4e1fb925061ac6fb2247f10875f5fcbe63eec2ab55ed68970e","NPS","BAL","d54123de468bd42ea00dafbd777f85fe5fa1ff6404d9838c007953c25c92a1c5",2021-02-05 11:57:31,2021-02-01,2021-01-31,"HS",0
"46","4","Belgium","Unknown",NA,"0985b889a1fe4f4e1fb925061ac6fb2247f10875f5fcbe63eec2ab55ed68970e","NPS","BAL","d54123de468bd42ea00dafbd777f85fe5fa1ff6404d9838c007953c25c92a1c5",2021-02-05 11:57:31,2021-02-01,2021-01-31,"MB",0
"47","4","Belgium","Unknown",NA,"0985b889a1fe4f4e1fb925061ac6fb2247f10875f5fcbe63eec2ab55ed68970e","NPS","BAL","d54123de468bd42ea00dafbd777f85fe5fa1ff6404d9838c007953c25c92a1c5",2021-02-05 11:57:31,2021-02-01,2021-01-31,"BRSV",0
"48","4","Belgium","Unknown",NA,"0985b889a1fe4f4e1fb925061ac6fb2247f10875f5fcbe63eec2ab55ed68970e","NPS","BAL","d54123de468bd42ea00dafbd777f85fe5fa1ff6404d9838c007953c25c92a1c5",2021-02-05 11:57:31,2021-02-01,2021-01-31,"PI3",0
"49","4","Belgium","Unknown",NA,"0985b889a1fe4f4e1fb925061ac6fb2247f10875f5fcbe63eec2ab55ed68970e","NPS","BAL","d54123de468bd42ea00dafbd777f85fe5fa1ff6404d9838c007953c25c92a1c5",2021-02-05 11:57:31,2021-02-01,2021-01-31,"BCV",0
"50","4","Belgium","Unknown",NA,"10817df0e1576683281c68a35157e456c39ec64bd3887c0c8ca94b7a0fc38cc9","NPS","BAL","a5e45791a59e46e829080e10719763bd4297d8e7095859779a4d5c1fd10fe320",2021-04-29 13:43:49,2021-04-01,2021-04-25,"PM",0
"51","4","Belgium","Unknown",NA,"10817df0e1576683281c68a35157e456c39ec64bd3887c0c8ca94b7a0fc38cc9","NPS","BAL","a5e45791a59e46e829080e10719763bd4297d8e7095859779a4d5c1fd10fe320",2021-04-29 13:43:49,2021-04-01,2021-04-25,"MH",0
"52","4","Belgium","Unknown",NA,"10817df0e1576683281c68a35157e456c39ec64bd3887c0c8ca94b7a0fc38cc9","NPS","BAL","a5e45791a59e46e829080e10719763bd4297d8e7095859779a4d5c1fd10fe320",2021-04-29 13:43:49,2021-04-01,2021-04-25,"HS",0
"53","4","Belgium","Unknown",NA,"10817df0e1576683281c68a35157e456c39ec64bd3887c0c8ca94b7a0fc38cc9","NPS","BAL","a5e45791a59e46e829080e10719763bd4297d8e7095859779a4d5c1fd10fe320",2021-04-29 13:43:49,2021-04-01,2021-04-25,"MB",1
"54","4","Belgium","Unknown",NA,"10817df0e1576683281c68a35157e456c39ec64bd3887c0c8ca94b7a0fc38cc9","NPS","BAL","a5e45791a59e46e829080e10719763bd4297d8e7095859779a4d5c1fd10fe320",2021-04-29 13:43:49,2021-04-01,2021-04-25,"BRSV",0
"55","4","Belgium","Unknown",NA,"10817df0e1576683281c68a35157e456c39ec64bd3887c0c8ca94b7a0fc38cc9","NPS","BAL","a5e45791a59e46e829080e10719763bd4297d8e7095859779a4d5c1fd10fe320",2021-04-29 13:43:49,2021-04-01,2021-04-25,"PI3",0
"56","4","Belgium","Unknown",NA,"10817df0e1576683281c68a35157e456c39ec64bd3887c0c8ca94b7a0fc38cc9","NPS","BAL","a5e45791a59e46e829080e10719763bd4297d8e7095859779a4d5c1fd10fe320",2021-04-29 13:43:49,2021-04-01,2021-04-25,"BCV",0
"57","4","Belgium","Unknown",NA,"1180705d05bb5bbe13b426294cb548b184fe71c2e29c2c27215015992acd3b0b","NPS","BAL","3191ffaa05e8a18a1da8d6b8b84b58eb0ed465466b9555bd738c5bc81d990ba4",2021-11-12 11:27:02,2021-11-01,2021-11-07,"PM",0
"58","4","Belgium","Unknown",NA,"1180705d05bb5bbe13b426294cb548b184fe71c2e29c2c27215015992acd3b0b","NPS","BAL","3191ffaa05e8a18a1da8d6b8b84b58eb0ed465466b9555bd738c5bc81d990ba4",2021-11-12 11:27:02,2021-11-01,2021-11-07,"MH",0
"59","4","Belgium","Unknown",NA,"1180705d05bb5bbe13b426294cb548b184fe71c2e29c2c27215015992acd3b0b","NPS","BAL","3191ffaa05e8a18a1da8d6b8b84b58eb0ed465466b9555bd738c5bc81d990ba4",2021-11-12 11:27:02,2021-11-01,2021-11-07,"HS",0
"60","4","Belgium","Unknown",NA,"1180705d05bb5bbe13b426294cb548b184fe71c2e29c2c27215015992acd3b0b","NPS","BAL","3191ffaa05e8a18a1da8d6b8b84b58eb0ed465466b9555bd738c5bc81d990ba4",2021-11-12 11:27:02,2021-11-01,2021-11-07,"MB",1
"61","4","Belgium","Unknown",NA,"1180705d05bb5bbe13b426294cb548b184fe71c2e29c2c27215015992acd3b0b","NPS","BAL","3191ffaa05e8a18a1da8d6b8b84b58eb0ed465466b9555bd738c5bc81d990ba4",2021-11-12 11:27:02,2021-11-01,2021-11-07,"BRSV",0
"62","4","Belgium","Unknown",NA,"1180705d05bb5bbe13b426294cb548b184fe71c2e29c2c27215015992acd3b0b","NPS","BAL","3191ffaa05e8a18a1da8d6b8b84b58eb0ed465466b9555bd738c5bc81d990ba4",2021-11-12 11:27:02,2021-11-01,2021-11-07,"PI3",0
"63","4","Belgium","Unknown",NA,"1180705d05bb5bbe13b426294cb548b184fe71c2e29c2c27215015992acd3b0b","NPS","BAL","3191ffaa05e8a18a1da8d6b8b84b58eb0ed465466b9555bd738c5bc81d990ba4",2021-11-12 11:27:02,2021-11-01,2021-11-07,"BCV",0
"64","4","Belgium","Unknown",NA,"1390be8dcd7a201c1d032cd0a4740e39f3cbd5216c54d0ea2c7f888685a06eec","NPS","BAL","2fd71aea13702554c8966f3269f3501b0b9fe8ce43c025fe6cdea3549897492e",2022-06-29 10:16:32,2022-06-01,2022-06-26,"PM",0
"65","4","Belgium","Unknown",NA,"1390be8dcd7a201c1d032cd0a4740e39f3cbd5216c54d0ea2c7f888685a06eec","NPS","BAL","2fd71aea13702554c8966f3269f3501b0b9fe8ce43c025fe6cdea3549897492e",2022-06-29 10:16:32,2022-06-01,2022-06-26,"MH",0
"66","4","Belgium","Unknown",NA,"1390be8dcd7a201c1d032cd0a4740e39f3cbd5216c54d0ea2c7f888685a06eec","NPS","BAL","2fd71aea13702554c8966f3269f3501b0b9fe8ce43c025fe6cdea3549897492e",2022-06-29 10:16:32,2022-06-01,2022-06-26,"HS",0
"67","4","Belgium","Unknown",NA,"1390be8dcd7a201c1d032cd0a4740e39f3cbd5216c54d0ea2c7f888685a06eec","NPS","BAL","2fd71aea13702554c8966f3269f3501b0b9fe8ce43c025fe6cdea3549897492e",2022-06-29 10:16:32,2022-06-01,2022-06-26,"MB",0
"68","4","Belgium","Unknown",NA,"1390be8dcd7a201c1d032cd0a4740e39f3cbd5216c54d0ea2c7f888685a06eec","NPS","BAL","2fd71aea13702554c8966f3269f3501b0b9fe8ce43c025fe6cdea3549897492e",2022-06-29 10:16:32,2022-06-01,2022-06-26,"BRSV",0
"69","4","Belgium","Unknown",NA,"1390be8dcd7a201c1d032cd0a4740e39f3cbd5216c54d0ea2c7f888685a06eec","NPS","BAL","2fd71aea13702554c8966f3269f3501b0b9fe8ce43c025fe6cdea3549897492e",2022-06-29 10:16:32,2022-06-01,2022-06-26,"PI3",0
"70","4","Belgium","Unknown",NA,"1390be8dcd7a201c1d032cd0a4740e39f3cbd5216c54d0ea2c7f888685a06eec","NPS","BAL","2fd71aea13702554c8966f3269f3501b0b9fe8ce43c025fe6cdea3549897492e",2022-06-29 10:16:32,2022-06-01,2022-06-26,"BCV",0
