"","Lab_reference","Country","Breed","Province","Farm_ID","Diagnostic_test","Sample_type","Samplenumber","Date","Date_month","Date_week","Pathogen","Result"
"1","6","France","Beef","Bourgogne-Franche-Comte","bb469166447956f473e8c7862986c3f81346de4648d0693bec2e79c362eb8a9b","Culture","Autopsy","77033ee74367bf133f04b41a385eba6c121b4453ebda96041ccffcd95012945c",2021-02-22,2021-02-01,2021-02-21,"PM","0"
"2","6","France","Beef","Bourgogne-Franche-Comte","bb469166447956f473e8c7862986c3f81346de4648d0693bec2e79c362eb8a9b","Culture","Autopsy","77033ee74367bf133f04b41a385eba6c121b4453ebda96041ccffcd95012945c",2021-02-22,2021-02-01,2021-02-21,"MH","0"
"3","6","France","Beef","Bourgogne-Franche-Comte","bb469166447956f473e8c7862986c3f81346de4648d0693bec2e79c362eb8a9b","Culture","Autopsy","77033ee74367bf133f04b41a385eba6c121b4453ebda96041ccffcd95012945c",2021-02-22,2021-02-01,2021-02-21,"HS","0"
"4","6","France","Beef","Bourgogne-Franche-Comte","bb469166447956f473e8c7862986c3f81346de4648d0693bec2e79c362eb8a9b","Culture","Autopsy","77033ee74367bf133f04b41a385eba6c121b4453ebda96041ccffcd95012945c",2021-02-22,2021-02-01,2021-02-21,"MB","0"
"5","6","France","Beef","Bourgogne-Franche-Comte","bb469166447956f473e8c7862986c3f81346de4648d0693bec2e79c362eb8a9b","Culture","Autopsy","77033ee74367bf133f04b41a385eba6c121b4453ebda96041ccffcd95012945c",2021-02-22,2021-02-01,2021-02-21,"BRSV",NA
"6","6","France","Beef","Bourgogne-Franche-Comte","bb469166447956f473e8c7862986c3f81346de4648d0693bec2e79c362eb8a9b","Culture","Autopsy","77033ee74367bf133f04b41a385eba6c121b4453ebda96041ccffcd95012945c",2021-02-22,2021-02-01,2021-02-21,"PI3",NA
"7","6","France","Beef","Bourgogne-Franche-Comte","bb469166447956f473e8c7862986c3f81346de4648d0693bec2e79c362eb8a9b","Culture","Autopsy","77033ee74367bf133f04b41a385eba6c121b4453ebda96041ccffcd95012945c",2021-02-22,2021-02-01,2021-02-21,"BCV",NA
"8","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","507910b4e9a8fccb3c5ff14d55fdd23172bc0cc46c21ca24d616ab8dfbf3e17e",2022-06-07,2022-06-01,2022-06-05,"PM","0"
"9","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","507910b4e9a8fccb3c5ff14d55fdd23172bc0cc46c21ca24d616ab8dfbf3e17e",2022-06-07,2022-06-01,2022-06-05,"MH","0"
"10","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","507910b4e9a8fccb3c5ff14d55fdd23172bc0cc46c21ca24d616ab8dfbf3e17e",2022-06-07,2022-06-01,2022-06-05,"HS","0"
"11","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","507910b4e9a8fccb3c5ff14d55fdd23172bc0cc46c21ca24d616ab8dfbf3e17e",2022-06-07,2022-06-01,2022-06-05,"MB","0"
"12","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","507910b4e9a8fccb3c5ff14d55fdd23172bc0cc46c21ca24d616ab8dfbf3e17e",2022-06-07,2022-06-01,2022-06-05,"BRSV",NA
"13","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","507910b4e9a8fccb3c5ff14d55fdd23172bc0cc46c21ca24d616ab8dfbf3e17e",2022-06-07,2022-06-01,2022-06-05,"PI3",NA
"14","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","507910b4e9a8fccb3c5ff14d55fdd23172bc0cc46c21ca24d616ab8dfbf3e17e",2022-06-07,2022-06-01,2022-06-05,"BCV",NA
"15","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","8bacc6333071f240add809abace74cce418cddfd4d68a546400d38e5740e488e",2022-06-07,2022-06-01,2022-06-05,"PM","1"
"16","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","8bacc6333071f240add809abace74cce418cddfd4d68a546400d38e5740e488e",2022-06-07,2022-06-01,2022-06-05,"MH","0"
"17","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","8bacc6333071f240add809abace74cce418cddfd4d68a546400d38e5740e488e",2022-06-07,2022-06-01,2022-06-05,"HS","0"
"18","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","8bacc6333071f240add809abace74cce418cddfd4d68a546400d38e5740e488e",2022-06-07,2022-06-01,2022-06-05,"MB","0"
"19","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","8bacc6333071f240add809abace74cce418cddfd4d68a546400d38e5740e488e",2022-06-07,2022-06-01,2022-06-05,"BRSV",NA
"20","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","8bacc6333071f240add809abace74cce418cddfd4d68a546400d38e5740e488e",2022-06-07,2022-06-01,2022-06-05,"PI3",NA
"21","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","8bacc6333071f240add809abace74cce418cddfd4d68a546400d38e5740e488e",2022-06-07,2022-06-01,2022-06-05,"BCV",NA
"22","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","97b71bcb86d9a031ee8d57a0480fd76e1f704def6fffeb18a1e4ee11181d98b7",2022-06-07,2022-06-01,2022-06-05,"PM","0"
"23","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","97b71bcb86d9a031ee8d57a0480fd76e1f704def6fffeb18a1e4ee11181d98b7",2022-06-07,2022-06-01,2022-06-05,"MH","0"
"24","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","97b71bcb86d9a031ee8d57a0480fd76e1f704def6fffeb18a1e4ee11181d98b7",2022-06-07,2022-06-01,2022-06-05,"HS","0"
"25","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","97b71bcb86d9a031ee8d57a0480fd76e1f704def6fffeb18a1e4ee11181d98b7",2022-06-07,2022-06-01,2022-06-05,"MB","0"
"26","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","97b71bcb86d9a031ee8d57a0480fd76e1f704def6fffeb18a1e4ee11181d98b7",2022-06-07,2022-06-01,2022-06-05,"BRSV",NA
"27","6","France","Beef","Brittany","3e354d72118ae4ccd982645abedc432ede96bc4d49e32503f2bda257f57ae182","Culture","Missing","97b71bcb86d9a031ee8d57a0480fd76e1f704def6fffeb18a1e4ee11181d98b7",2022-06-07,2022-06-01,2022-06-05,"PI3",NA
